date,home_team,away_team,prop_odds_game_id,sportsbook,home_team_odds,away_team_odds,winner
2023-04-12,New Orleans Pelicans,Oklahoma City Thunder,9a5f9c73414b7602079c4b1fb1dcb4b8,draftkings,-215,185,
2023-04-12,New Orleans Pelicans,Oklahoma City Thunder,9a5f9c73414b7602079c4b1fb1dcb4b8,caesars,-225,185,
2023-04-12,New Orleans Pelicans,Oklahoma City Thunder,9a5f9c73414b7602079c4b1fb1dcb4b8,betmgm,-225,180,
2023-04-12,New Orleans Pelicans,Oklahoma City Thunder,9a5f9c73414b7602079c4b1fb1dcb4b8,barstool,-230,188,
2023-04-14,Miami Heat,Chicago Bulls,4c8b351d12b976f3be6a7a94a51339a0,fanduel,-215,180,
2023-04-14,Miami Heat,Chicago Bulls,4c8b351d12b976f3be6a7a94a51339a0,draftkings,-215,185,
2023-04-14,Miami Heat,Chicago Bulls,4c8b351d12b976f3be6a7a94a51339a0,caesars,-225,185,
2023-04-14,Miami Heat,Chicago Bulls,4c8b351d12b976f3be6a7a94a51339a0,betmgm,-225,180,
2023-04-14,Miami Heat,Chicago Bulls,4c8b351d12b976f3be6a7a94a51339a0,barstool,-225,185,
2023-04-14,Minnesota Timberwolves,Oklahoma City Thunder,5fe846ca4de92ae0bdd55673db798090,fanduel,-215,180,
2023-04-14,Minnesota Timberwolves,Oklahoma City Thunder,5fe846ca4de92ae0bdd55673db798090,draftkings,-215,185,
2023-04-14,Minnesota Timberwolves,Oklahoma City Thunder,5fe846ca4de92ae0bdd55673db798090,caesars,-220,180,
